assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_in,transfers_out,value,yellow_cards,player,Involved
0,3,32,1,0.0,15,0.0,0.0,0.0,1.3,0,0,3.5,35.0,90,0,0,0,0,5,1218415,1,2,0,0.0,10,8949,22264,48,0,Aaron_Ramsdale_15,1
0,0,14,0,0.0,15,0.0,0.0,0.0,1.78,3,0,2.0,19.8,90,0,0,0,0,3,1230625,1,3,0,0.0,2,20692,11356,48,0,Aaron_Ramsdale_15,1
0,0,11,0,0.0,15,0.0,0.0,0.0,0.55,1,0,1.2,12.2,90,0,0,0,0,1,1232576,1,0,1,0.0,2,21387,20225,48,0,Aaron_Ramsdale_15,1
0,0,18,1,0.0,15,0.0,0.0,0.0,0.47,0,0,0.0,0.0,90,0,0,0,0,0,1312290,1,0,5,0.0,6,80633,12169,48,0,Aaron_Ramsdale_15,1
0,0,0,0,0.0,341,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,32219,0,2,1,0.0,0,0,0,45,0,Aaron_Wan-Bissaka_341,0
0,0,0,0,0.0,341,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,33441,0,0,4,0.0,0,1464,6956,45,0,Aaron_Wan-Bissaka_341,0
0,0,4,0,0.0,341,0.0,0.0,0.0,0.0,0,0,0.3,3.0,4,0,0,0,0,0,28886,0,1,2,0.0,1,1497,7800,44,0,Aaron_Wan-Bissaka_341,1
0,0,0,0,0.0,341,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,27173,0,1,0,0.0,0,1035,4191,44,0,Aaron_Wan-Bissaka_341,0
0,0,0,0,0.0,341,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,25870,0,1,0,0.0,0,1202,3486,43,0,Aaron_Wan-Bissaka_341,0
0,0,0,0,0.0,341,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,24011,0,1,3,0.0,0,1507,4108,43,0,Aaron_Wan-Bissaka_341,0
0,0,0,0,0.0,341,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,20978,0,3,6,0.0,0,459,884,43,0,Aaron_Wan-Bissaka_341,0
